Index,Artist,Date,Venue,City,Latitude,Longitude
1,James Blunt,2025/3/4,Ziggo Dome,Amsterdam,52.31345,4.93719
2,Sturgill Simpson,2025/3/4,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
3,Ksenija Sidorova and Thomas Hampson,2025/3/4,"Kleine Zaal, Concertgebouw Amsterdam",Amsterdam,52.35588,4.87903
4,Jonah Kagen,2025/3/5,Paradiso,Amsterdam,52.36228,4.88395
5,HENGE,2025/3/5,Melkweg,Amsterdam,52.36484,4.88127
6,RIKAS,2025/3/5,Cinetol,Amsterdam,52.35281,4.90657
7,Babs,2025/3/5,Paradiso,Amsterdam,52.36228,4.88395
8,aespa,2025/3/6,AFAS Live,Amsterdam,52.31216,4.94467
9,RY X,2025/3/6,Paradiso,Amsterdam,52.36228,4.88395
10,Martin Kohlstedt,2025/3/6,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
11,Ditz,2025/3/6,Paradiso,Amsterdam,52.36228,4.88395
12,Nadia Reid,2025/3/6,"Paradiso, upstairs",Amsterdam,Unknown,Unknown
13,Yael Deckelbaum,2025/3/6,Amstelkerk,Amsterdam,52.36229,4.89648
14,Simon Stuij,2025/3/6,Volta,Amsterdam,52.38609,4.88184
15,Valet,2025/3/6,Club Inn,Amsterdam,52.36482,4.88199
16,RY X,2025/3/7,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
17,dublon,2025/3/7,Paradiso,Amsterdam,52.36228,4.88395
18,"DJ Hype, Uncle Dugs, Kenny Ken, Dj Inter, Dillinja, Fearless, DJ Brockie, Iration Steppas, Mc Det, The Ragga Twins, DJ Rap, Aphrodite, Jumping Jack Frost, Bryan Gee, Demolition Man, DJ Nicky Blackmarket, Moose, MC Moose, Darren Jay, MC Spyda, Navigator, MC Navigator, Shumba Youth, King Yoof, John B, Kleu, Kalia, and Adi-J",2025/3/7,Panama Amsterdam,Amsterdam,52.37493,4.93031
19,Holland Zingt Hazes,2025/3/7,Ziggo Dome,Amsterdam,52.31345,4.93719
20,Priori,2025/3/7,Garage Noord,Amsterdam,52.38557,4.92572
21,Yael Deckelbaum,2025/3/7,Dominicuskerk,Amsterdam,52.377,4.89335
22,Kingdom of Desire,2025/3/7,Poppodium Q-Factory,Amsterdam,52.35762,4.9304
23,Maylay Sparks,2025/3/7,Unknown,Amsterdam,52.37022,4.89517
24,BIIG PIIG,2025/3/8,Melkweg Max & Oz,Amsterdam,52.36493,4.8817
25,Laura Misch,2025/3/8,Bimhuis,Amsterdam,52.37815,4.91283
26,Holland Zingt Hazes,2025/3/8,Ziggo Dome,Amsterdam,52.31345,4.93719
27,COLLIGNON and Kypski,2025/3/8,Skatecafe,Amsterdam,52.38548,4.92553
28,Saskia Laroo,2025/3/8,TOBACCO Theater,Amsterdam,52.36962,4.89328
29,Belfountain,2025/3/8,Parlour,Amsterdam,52.35054,4.89079
30,Swan (Amsterdam),2025/3/8,Melkweg Upstairs,Amsterdam,52.36484,4.88127
31,Joia,2025/3/8,Theater City of Wesopa,Weesp,52.30887,5.03978
32,MUZZ (UK),2025/3/8,Lofi,Amsterdam,52.39125,4.82422
33,Feid,2025/3/9,AFAS Live,Amsterdam,52.31216,4.94467
34,Jamie Miller,2025/3/9,Melkweg OZ,Amsterdam,52.36484,4.88127
35,Kitty Liv,2025/3/9,Paradiso Kleine Zaal,Amsterdam,52.36228,4.88395
36,"Ties Mellema, Vinkepeezer, Michiel van Dijk, Jeanine Valeriano, and Tom Aldrich",2025/3/9,GROND,Amsterdam,52.33588,4.92661
37,Tamino,2025/3/10,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
38,Lalah Hathaway,2025/3/10,Paradiso,Amsterdam,52.36228,4.88395
39,Jamie xx,2025/3/11,AFAS Live,Amsterdam,52.31216,4.94467
40,Tindersticks,2025/3/11,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
41,Noa (Achinoam Nini),2025/3/11,Liberaal Joodse Gemeente,Amsterdam,52.3382,4.89821
42,MIKE (Rapper),2025/3/11,Melkweg OZ,Amsterdam,52.36484,4.88127
43,Oisin Leech,2025/3/11,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
44,The Dead South,2025/3/12,AFAS Live,Amsterdam,52.31216,4.94467
45,Lucy Dacus,2025/3/12,Vondelkerk,Amsterdam,52.3613,4.87361
46,BAYNK,2025/3/12,Paradiso,Amsterdam,52.36228,4.88395
47,Rebecca Black,2025/3/12,Melkweg OZ,Amsterdam,52.36484,4.88127
48,Herman van Veen,2025/3/12,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
49,julie (us),2025/3/12,"Paradiso Noord, Tolhuistuin",Amsterdam,52.38308,4.90303
50,Jaya the Cat,2025/3/13,Melkweg,Amsterdam,52.36484,4.88127
51,Herman van Veen,2025/3/13,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
52,Lemon,2025/3/13,Cafe Sound Garden,Amsterdam,52.37297,4.8758
53,Stereocilia,2025/3/13,Dokhuis Galerie,Amsterdam,52.3686,4.91133
54,Tess Merlot,2025/3/13,De Roode Bioscoop,Amsterdam,52.38403,4.88395
55,Truncate and Marco Ramos,2025/3/13,Club John Doe,Amsterdam,52.36648,4.8976
56,Herman van Veen,2025/3/14,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
57,Sun-Mi Hong Quintet,2025/3/14,Bimhuis,Amsterdam,52.37815,4.91283
58,Mathieu Sylvestre,2025/3/14,Vondelbunker,Amsterdam,52.35799,4.86865
59,Symphony of Magic ¨C The Music of Harry Potter Live,2025/3/14,Rai Amsterdam,Amsterdam,52.34322,4.89128
60,Eyecloser,2025/3/14,Caf¨¦ de Afdeling,Amsterdam,52.402,4.93591
61,The Butterflies of Babylon 2025,2025/3/14,Gardens of Babylon,Amsterdam,Unknown,Unknown
62,Butterflies in Babylon 2025,2025/3/14,Thuishaven,Amsterdam,52.39589,4.85527
63,Holland Zingt Hazes,2025/3/15,Ziggo Dome,Amsterdam,52.31345,4.93719
64,RaNi,2025/3/15,Tolhuistuin,Amsterdam,52.38515,4.90023
65,Viken Arman,2025/3/15,Thuishaven Terrein,Amsterdam,52.39589,4.85527
66,Herman van Veen,2025/3/15,Koninklijk Theater Carr¨¦,Amsterdam,52.36238,4.90388
67,Faux Real,2025/3/15,Paradiso,Amsterdam,52.36228,4.88395
68,Global Charming,2025/3/15,Paradiso,Amsterdam,52.36228,4.88395
69,Symphony of Magic ¨C The Music of Harry Potter Live,2025/3/15,Rai Amsterdam,Amsterdam,52.34322,4.89128
70,Be Lion,2025/3/15,8sixA,Amsterdam,52.40026,4.8956
71,Frank van Etten ¨C Feestje op Wielen 2025,2025/3/15,AFAS Live,Amsterdam,52.31216,4.94467
72,Jalen Ngonda,2025/3/16,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
73,Ghost Funk Orchestra,2025/3/16,Paradiso,Amsterdam,52.36228,4.88395
74,Hannah Mae,2025/3/16,"Paradiso Noord, Tolhuistuin",Amsterdam,52.38308,4.90303
75,Holland Zingt Hazes,2025/3/16,Ziggo Dome,Amsterdam,52.31345,4.93719
76,Helicon Glasgow,2025/3/16,De Verbroederij,Amsterdam,Unknown,Unknown
77,Rick Treffers and Muno Na Baka,2025/3/16,Zaal 100,Amsterdam,52.38294,4.87801
78,Alex Warren,2025/3/17,AFAS Live,Amsterdam,52.31216,4.94467
79,Zaho de Sagazan,2025/3/17,Paradiso,Amsterdam,52.36228,4.88395
80,The Rumjacks,2025/3/17,Melkweg,Amsterdam,52.36484,4.88127
81,Pelin Vedis,2025/3/17,Club John Doe,Amsterdam,52.36648,4.8976
