Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
James Blunt,2025-03-04T20:00:00+0100,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42137617-james-blunt-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Sturgill Simpson,2025-03-04T19:00:00+0100,Paradiso Grote Zaal,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42187293-sturgill-simpson-at-paradiso-grote-zaal,Weteringschans 6-8,1017 SG,52.36228,4.88395
Ksenija Sidorova and Thomas Hampson,2025-03-04,"Kleine Zaal, Concertgebouw Amsterdam","Amsterdam, Netherlands",https://www.songkick.com/concerts/42143990-ksenija-sidorova-at-kleine-zaal-concertgebouw-amsterdam,Concertgebouwplein 2-6,1071 LN,52.35588,4.87903
Jonah Kagen,2025-03-05T20:00:00+0100,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42340716-jonah-kagen-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
HENGE,2025-03-05T19:30:00+0100,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42168572-henge-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
RIKAS,2025-03-05T19:00:00+0100,Cinetol,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42294501-rikas-at-cinetol,Tolstraat 182,1074 VM,52.35281,4.90657
Babs,2025-03-05T19:00:00+0100,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42289623-babs-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
aespa,2025-03-06T20:00:00+0100,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42195897-aespa-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
RY X,2025-03-06,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/41994872-ry-x-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Martin Kohlstedt,2025-03-06,Het Koninklijk Concertgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42030406-martin-kohlstedt-at-het-koninklijk-concertgebouw,Concertgebouwplein 2-6,1071LN,52.35597,4.87856
Ditz,2025-03-06T19:00:00+0100,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42228332-ditz-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Nadia Reid,2025-03-06T20:00:00+0100,"Paradiso, upstairs","Amsterdam, Netherlands",https://www.songkick.com/concerts/42152003-nadia-reid-at-paradiso-upstairs,Unknown,Unknown,Unknown,Unknown
Yael Deckelbaum,2025-03-06T19:00:00+0100,Amstelkerk,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42277246-yael-deckelbaum-at-amstelkerk,Amstelveld 10,1017JD,52.36229,4.89648
Simon Stuij,2025-03-06T20:30:00+0100,Volta,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42424667-simon-stuij-at-volta,Houtmankade 336,1013,52.38609,4.88184
Valet,2025-03-06T23:00:00+0100,Club Inn,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42465585-valet-at-club-inn,Lijnbaansgracht 238,1017 PH,52.36482,4.88199
RY X,2025-03-07T19:00:00+0100,Paradiso Grote Zaal,"Amsterdam, Netherlands",https://www.songkick.com/concerts/41983719-ry-x-at-paradiso-grote-zaal,Weteringschans 6-8,1017 SG,52.36228,4.88395
