Id,Projectnaamafkorting,Buurtcode,Buurtnaam,Wijkcode,Wijknaam,Gebiedcode,Gebiednaam,Stadsdeelcode,Stadsdeelnaam,Zelfbouw,Socialehuurcorporatie,Plaberumpublicatie,Startbouwgepland,Startbouwgerealiseerd,Socialehuurzelfstperm,Middeldurehuur,Socialekoop,Vrijesectorhuur,Vrijesectorkoop,Vrijesectornb,Onbekend,Jongeren,Studenten,Shonzelfstenoftijdelijk,Onzelfstandig,Tijdelijk,Totaal,Totaalzelfstperm,Peildatum,Geometrie
1005,Zuidas/Ravel_ontwikkelveld_2 - Ravel ontwikkelveld 2 fase 4 kavels I J: bouw indicatief,KP05,Vivaldi,KP,Zuidas,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2034-03-24,,0,196,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,196,196,2023-07-01,"SRID=28992;MULTIPOLYGON (((120614.40506545035 483195.8390556007, 120648.32825669153 483203.24047914427, 120676.08359497978 483235.31331449957, 120669.91574202683 483237.78045568074, 120663.74788907389 483238.0888483284, 120613.78828015506 483239.6308115666, 120614.40506545035 483195.8390556007)))"
1006,Zuidas/Verdi - IJsbaanpad noordzone kavel 4,KH06,IJsbaanpad e.o.,KH,Stadionbuurt,GK11,Oud-Zuid,K,Zuid,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2026-06-15,,47,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,47,47,2023-07-01,"SRID=28992;MULTIPOLYGON (((118641.42970855728 483877.11610580795, 118646.90583540476 483852.6079475305, 118705.47419489357 483865.5294373203, 118721.28927733653 483866.09199577797, 118731.50715580919 483865.44949546974, 118760.16846247448 483861.3447568307, 118763.88595679094 483885.0175841626, 118745.73133078018 483899.9605768859, 118641.42970855728 483877.11610580795)))"
1009,Zuidas/Verdi - NO-kwadrant lokatie Tripolis transformatie gebouw 100 bouw woningen incl maaiveld,KH06,IJsbaanpad e.o.,KH,Stadionbuurt,GK11,Oud-Zuid,K,Zuid,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2024-04-02,,120,0,0,0,0,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,120,120,2023-07-01,"SRID=28992;MULTIPOLYGON (((118827.77817343088 483852.61536711355, 118879.78595152232 483843.5558932184, 118888.21137327116 483851.28305471997, 118886.57855461 483907.59662328236, 118837.17244837646 483897.7214148287, 118834.90976496157 483895.84642328986, 118827.77817343088 483852.61536711355)))"
1011,Zuidas/Verdi-PompstationAmstelveenseweg:wijzigingerfpachtwoningbouwinclmaaiveldindicatief,KQ02,Zuiderhof,KQ,Buitenveldert-West,GK12,"Buitenveldert, Zuidas",K,Zuid,n.b.,n.b.,Fase 2&3: Haalbaarheid en ontwerp,2030-01-21,,119,119,0,0,60,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,298,298,2023-07-01,"SRID=28992;MULTIPOLYGON (((118839.26198447385 483307.9857108043, 118836.4814886502 483309.89761814225, 118832.81172698211 483311.3709652632, 118828.65673922116 483311.73518825776, 118825.24412054021 483311.09256738616, 118822.31051030933 483309.7788334651, 118818.88403733275 483307.24476332346, 118815.37281178244 483303.3761009212, 118813.44247578882 483300.3860049272, 118811.08935360027 483295.5074515173, 118809.27657581533 483289.95733327355, 118808.28135892618 483285.291370069, 118807.63484091475 483279.8439769893, 118807.51430753944 483273.6249819654, 118808.08287531094 483267.5010800213, 118809.141867603 483262.263729165, 118810.67268276935 483257.2343315301, 118812.68474544535 483252.7688759218, 118815.37918158644 483248.40969131864, 118817.2038974964 483246.28223647707, 118819.4980734424 483244.0400763921, 118821.94626747313 483242.35312923085, 118826.36415979377 483240.6517610387, 118830.1792438592 483240.4012931123, 118832.84057009607 483240.8268817315, 118835.43781248356 483241.8092805257, 118839.27406928438 483244.45163079974, 118842.80105756642 483242.08919061034, 118846.13935416266 483240.9520809956, 118848.38604611135 483240.60183673823, 118851.45467593725 483240.8019191286, 118855.13721619587 483241.9989233206, 118858.35517878766 483243.9782042737, 118860.0696479602 483245.4121455807, 118863.78259852875 483249.8357035578, 118866.62040649177 483254.82200442074, 118868.97133424817 483261.26947741426, 118870.39518230833 483267.70147760183, 118871.04376698419 483274.37281024404, 118870.95983660205 483280.60442807805, 118870.57094160152 483284.2791137641, 118869.86489235071 483288.3900638328, 118868.46433522992 483293.5297582228, 118866.39578278725 483298.6632118809, 118864.56557262258 483301.90336827986, 118862.61624652598 483304.69932493666, 118859.70756964089 483307.7248360701, 118856.24277394172 483310.1980777743, 118851.82420151225 483311.7992837742, 118848.01509158459 483311.92729707144, 118845.01148480893 483311.29279638367, 118842.40665091266 483310.19918041246, 118839.26198447385 483307.9857108043)))"
1020,IJburg 2/Centrumeiland_Tranche 5_Blok 16 - Realiseren_SIHK,MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2027-07-12,,0,0,0,0,110,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,110,110,2023-07-01,"SRID=28992;MULTIPOLYGON (((129779.72783251552 484806.8755434867, 129776.02365886359 484814.01550024556, 129786.8852997961 484819.5233549533, 129782.49985171862 484828.0131066706, 129761.05194977944 484817.552364479, 129769.00242337912 484801.3670084798, 129779.72783251552 484806.8755434867)))"
1025,IJburg 2/Centrumeiland_Tranche 4_Blok 2 - Realiseren_CPO (02-03),MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2024-12-24,,0,0,0,0,20,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,20,20,2023-07-01,"SRID=28992;MULTIPOLYGON (((129556.68612442393 485091.19228592294, 129562.42780688184 485080.258606721, 129581.96736683769 485090.72830746765, 129568.81727266322 485117.0548640999, 129559.32263787524 485112.3193113766, 129558.09286807099 485111.6580483046, 129566.18194815516 485096.15036026586, 129556.68612442393 485091.19228592294)))"
1031,IJburg2/Centrumeiland_Tranche2_Blok4-Realiseren_IND(4-11),MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2023-09-01,,0,0,0,0,1,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,1,1,2023-07-01,"SRID=28992;MULTIPOLYGON (((129439.17067647926 484934.13467568776, 129444.03405351186 484924.6518694017, 129454.47964704101 484930.04988122877, 129449.55493677095 484939.53299451247, 129439.17067647926 484934.13467568776)))"
1034,IJburg 2/Centrumeiland_Tranche 4_Blok 5 - Realiseren_MO (05-13),MK04,Centrumeiland,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2026-01-07,,0,0,0,0,23,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,23,23,2023-07-01,"SRID=28992;MULTIPOLYGON (((129532.38572490752 485013.6536246385, 129547.29304116679 484984.54738841834, 129571.6731292578 484996.8613800503, 129566.27089318293 485007.5818919557, 129554.8626463904 485001.74353895907, 129545.28266270782 485020.1518508932, 129532.38572490752 485013.6536246385)))"
1040,Overamstel/Amstelkwartier 2e fase_monument J Assistent Directeurswoning - verbouwing OA/AK_2 monument J,MQ05,Amstelkwartier-Noord,MQ,Omval/Overamstel,GM16,Watergraafsmeer,M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2026-02-26,,0,0,0,0,0,1,0,n.b.,n.b.,n.b.,n.b.,n.b.,1,1,2023-07-01,"SRID=28992;MULTIPOLYGON (((122707.51483995616 483530.0920950813, 122722.76794100167 483538.459850227, 122713.20916977369 483555.6463349714, 122698.55954605504 483547.84212636965, 122707.51483995616 483530.0920950813)))"
1041,NDSM_Kavel  B7 - Bouw woningen en voorzieningen B7_1 (bouwtijd = 30 maanden 25 jr),NB03,NDSM terrein,NB,Noordelijke IJ-oevers-West,GN19,Oud-Noord,N,Noord,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2025-06-16,,93,0,0,0,0,93,0,n.b.,n.b.,n.b.,n.b.,n.b.,186,186,2023-07-01,"SRID=28992;MULTIPOLYGON (((121172.0896215291 490728.40650366375, 121119.69407081831 490769.056741098, 121067.51230158233 490702.1979644519, 121119.77058759725 490661.3367120739, 121172.0896215291 490728.40650366375)))"
1042,NDSM_Toekomstige kavels B4-5-8-11 - Realisering programma B8 (33 mnd),NB03,NDSM terrein,NB,Noordelijke IJ-oevers-West,GN19,Oud-Noord,N,Noord,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2027-10-01,,48,38,0,0,0,105,0,n.b.,n.b.,n.b.,n.b.,n.b.,191,191,2023-07-01,"SRID=28992;MULTIPOLYGON (((121260.90290462515 490658.9336504081, 121197.46745176803 490708.5489849088, 121145.22334136121 490641.46728636965, 121161.80853533625 490628.5463873626, 121260.90290462515 490658.9336504081)))"
1048,IJburg 2/Strandeiland_Muidenbuurt_M19 - Realisatie periode,MK06,Muidenbuurt-Oost,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2032-05-31,,83,30,0,0,34,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,147,147,2023-07-01,"SRID=28992;MULTIPOLYGON (((130806.0638698355 485173.6059735929, 130856.88972439687 485201.6186208596, 130792.38382504554 485329.22323604906, 130740.6206980804 485302.9961205734, 130806.0638698355 485173.6059735929)), ((130736.55886925325 485311.0272626667, 130788.3287469609 485337.2543024029, 130764.17295176537 485384.8835854209, 130713.42283087033 485356.7602530695, 130736.55886925325 485311.0272626667)))"
1049,IJburg 2/Strandeiland_Muidenbuurt_M23 - Realisatie periode,MK06,Muidenbuurt-Oost,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2030-06-03,,78,71,0,0,54,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,203,203,2023-07-01,"SRID=28992;MULTIPOLYGON (((131022.36758869792 485203.7474873786, 131069.06913320252 485224.5499822588, 131014.20047530103 485332.9672380741, 130968.65383683462 485309.9343119534, 131022.36758869792 485203.7474873786)), ((130987.82621305659 485329.757584411, 131010.15187081485 485340.9980950556, 130963.12025517148 485434.0231042916, 130940.79485303235 485422.7716785748, 130987.82621305659 485329.757584411)), ((130913.52592011144 485419.02158396546, 130959.07181824939 485442.05400486616, 130903.01373023218 485552.8260857809, 130874.50472637221 485547.5022883805, 130878.91192311337 485487.5082203996, 130913.52592011144 485419.02158396546)))"
1051,IJburg 2/Strandeiland_Muidenbuurt_M24 - Realisatie periode,MK06,Muidenbuurt-Oost,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2030-06-03,,83,16,0,0,52,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,151,151,2023-07-01,"SRID=28992;MULTIPOLYGON (((131002.42086077489 485376.3070915422, 131047.90487774122 485399.2293650561, 130964.44377073405 485564.4095591968, 130912.20536852603 485554.55031789816, 131002.42086077489 485376.3070915422)), ((131062.9101094219 485303.1337902157, 131089.68207066593 485316.68967250624, 131051.96711970017 485391.19847206125, 131025.18183027914 485377.6428591594, 131062.9101094219 485303.1337902157)), ((131077.25544788584 485228.1820534551, 131121.9220245161 485248.1047875956, 131121.53338082094 485253.6699774453, 131093.73082450312 485308.6588813171, 131048.25246556025 485285.6248917483, 131077.25544788584 485228.1820534551)))"
1052,IJburg 2/Strandeiland_Muidenbuurt_M26 - Realisatie periode,MK06,Muidenbuurt-Oost,MK,IJburg-Oost,GM17,"IJburg, Zeeburgereiland",M,Oost,n.b.,n.b.,Fase 4: Voorbereiding en uitvoering,2029-04-10,,0,0,0,0,39,0,0,n.b.,n.b.,n.b.,n.b.,n.b.,39,39,2023-07-01,"SRID=28992;MULTIPOLYGON (((131095.004464844 485458.9844667994, 131106.12937005324 485464.5940077416, 131097.06703390117 485589.3673590271, 131035.02387118877 485577.65169826185, 131095.004464844 485458.9844667994)))"
